Event,Date,White,Black,Result,WhiteElo,BlackElo,ECO,SpeedChess
Magnus Carlsen Inv Prelim,2021-03-14,MVL,Karjakin,1/2-1/2,2758,2757,A45,1
Magnus Carlsen Inv Prelim,2021-03-14,Firouzja,Nepo,1/2-1/2,2759,2789,A45,1
Magnus Carlsen Inv Prelim,2021-03-14,Carlsen,Mamedyarov,1-0,2847,2770,B40,1
Magnus Carlsen Inv Prelim,2021-03-14,Mamedyarov,Anton Guijarro,0-1,2770,2673,B22,1
Magnus Carlsen Inv Prelim,2021-03-14,Nepo,Carlsen,0-1,2789,2847,B33,1
Magnus Carlsen Inv Prelim,2021-03-14,Karjakin,Firouzja,1-0,2757,2759,B12,1
Magnus Carlsen Inv Prelim,2021-03-14,Radjabov,MVL,0-1,2765,2758,A04,1
Magnus Carlsen Inv Prelim,2021-03-14,So,Nakamura,1/2-1/2,2770,2736,C67,1
Magnus Carlsen Inv Prelim,2021-03-14,Aronian,Dubov,1/2-1/2,2781,2710,B60,1
Magnus Carlsen Inv Prelim,2021-03-14,Dubov,Giri,1/2-1/2,2710,2776,D41,1
Magnus Carlsen Inv Prelim,2021-03-14,Nakamura,Aronian,1-0,2736,2781,D78,1
Magnus Carlsen Inv Prelim,2021-03-14,Van Foreest,So,0-1,2701,2770,C45,1
Magnus Carlsen Inv Prelim,2021-03-14,Firouzja,Radjabov,1-0,2759,2765,E98,1
Magnus Carlsen Inv Prelim,2021-03-14,Carlsen,Karjakin,1-0,2847,2757,D61,1
Magnus Carlsen Inv Prelim,2021-03-14,Anton Guijarro,Nepo,0-1,2673,2789,E60,1
Magnus Carlsen Inv Prelim,2021-03-14,Giri,Mamedyarov,1-0,2776,2770,B40,1
Magnus Carlsen Inv Prelim,2021-03-14,Karjakin,Anton Guijarro,1-0,2757,2673,A45,1
Magnus Carlsen Inv Prelim,2021-03-14,Radjabov,Carlsen,1/2-1/2,2765,2847,D43,1
Magnus Carlsen Inv Prelim,2021-03-14,So,MVL,1/2-1/2,2770,2758,D14,1
Magnus Carlsen Inv Prelim,2021-03-14,Aronian,Van Foreest,1-0,2781,2701,C53,1
Magnus Carlsen Inv Prelim,2021-03-14,Dubov,Nakamura,1/2-1/2,2710,2736,E06,1
